id,национальность
1134746,Русские
1134761,Русские
1134908,нет данных
1134915,Русские
1134925,Русские
1134999,Русские
1135064,Русские
1135065,Русские
1135138,Поляки
1135139,Немцы
1135173,Русские
1135188,Русские
1135205,нет данных
1135207,нет данных
1135210,нет данных
1135375,Русские
1135378,Русские
1135681,нет данных
1135682,нет данных
1135967,Русские
1136006,Китайцы
1136073,Украинцы
1136104,Украинцы
1136210,Нанайцы
1136238,Латыши
1136678,Русские
1136680,Русские
1136688,Русские
1136769,Русские
1136794,Русские
1136839,Татары
1136999,Татары
1137052,Татары
1137056,Татары
1137071,Татары
1137163,Татары
1137207,Русские
1137243,Русские
1137257,Русские
1137260,Русские
1137343,Русские
1137565,Украинцы
1137606,Украинцы
1137708,Евреи
1137746,Русские
1137779,Русские
1137877,Русские
1137889,Русские
1137893,Русские
1138148,Китайцы
1138208,Украинцы
1138266,Украинцы
1138386,Немцы
1138449,Русские
1138556,Русские
1138572,Русские
1138579,Китайцы
1138584,Китайцы
1138586,Китайцы
1138587,Китайцы
1138588,Китайцы
1138589,Китайцы
1138592,Китайцы
1138593,Китайцы
1138595,Китайцы
1138596,Китайцы
1138597,Китайцы
1138598,Китайцы
1138599,Китайцы
1138600,Китайцы
1138601,Китайцы
1138624,Русские
1138827,Евреи
1139160,Русские
1139220,Украинцы
1139252,Эстонцы
1139254,Немцы
1139362,нет данных
1139600,Русские
1140001,Татары
1140105,Поляки
1140188,Русские
1140250,Поляки
1140367,Немцы
1140710,Евреи
1140727,Нанайцы
1140728,Нанайцы
1140729,Нанайцы
1141031,Немцы
1141040,Немцы
1141041,нет данных
1141162,Русские
1141257,Эстонцы
1141443,Евреи
1141487,Немцы
1141529,Татары
1141595,Русские
1141655,Евреи
1141676,Русские
1141731,Русские
1141732,Евреи
1142139,Украинцы
1142144,Русские
1142177,Украинцы
1142185,Русские
1142339,Русские
1142564,Украинцы
1142611,Русские
1142776,Немцы
1142851,нет данных
1142860,Немцы
1143715,Русские
1143728,Немцы
1143787,Евреи
1143800,Немцы
1143828,Русские
1143849,Евреи
1143871,Евреи
1143885,Евреи
1144056,Украинцы
1144414,Нанайцы
1144570,Русские
1144690,Немцы
1144691,нет данных
1144748,Русские
1144801,Евреи
1144888,нет данных
1144969,Немцы
1145238,Евреи
1145306,Евреи
1145341,Евреи
1145642,Евреи
1145765,Евреи
1145766,Русские
1145920,Украинцы
1145970,Русские
1146078,Русские
1146112,Русские
