id,гражданство
1119755,СССР
1119772,СССР
1119833,СССР
1119877,СССР
1120193,СССР
1120267,СССР
1120511,СССР
1120692,СССР
1120693,СССР
1120752,СССР
1120998,Китай
1120999,Япония
1121001,Китай
1121020,СССР
1121056,СССР
1121058,СССР
1121071,СССР
1121230,нет данных
1121570,СССР
1121669,СССР
1122083,СССР
1122126,СССР
1122224,СССР
1122279,СССР
1122523,СССР
1122524,СССР
1122556,нет данных
1122663,СССР
1122697,Чехословакия
1122765,СССР
1122813,СССР
1122880,СССР
1122890,СССР
1122910,нет данных
1123083,СССР
1123142,СССР
1123297,СССР
1123302,Китай
1123309,СССР
1123365,нет данных
1123374,нет данных
1123480,СССР
1123736,СССР
1123796,СССР
1123818,СССР
1124046,СССР
1124139,СССР
1124183,СССР
1124218,СССР
1124224,Без гражданства
1124337,СССР
1124607,СССР
1124684,СССР
1125016,СССР
1125180,СССР
1125431,СССР
1125544,СССР
1125721,СССР
1125723,нет данных
1125729,нет данных
1125939,СССР
1126059,СССР
1126086,СССР
1126088,СССР
1126284,СССР
1126364,СССР
1126582,СССР
1127041,СССР
1127363,СССР
1127399,СССР
1127485,СССР
1127518,СССР
1127593,СССР
1127658,СССР
1127674,СССР
1127720,Без гражданства
1127821,СССР
1127831,СССР
1127840,СССР
1127890,Китай
1127976,СССР
1128025,нет данных
1128037,СССР
1128048,СССР
1128052,СССР
1128076,СССР
1128147,СССР
1128150,СССР
1128165,СССР
1128180,СССР
1128200,нет данных
1128440,СССР
1128741,СССР
1128823,СССР
1128856,СССР
1128910,СССР
1128971,СССР
1128987,СССР
1129026,СССР
1129252,СССР
1129306,СССР
1129470,СССР
1129473,СССР
1129576,СССР
1129584,СССР
1129591,СССР
1129609,СССР
1129617,СССР
1129625,СССР
1129635,СССР
1129738,СССР
1129739,СССР
1129847,СССР
1130014,СССР
1130044,СССР
1130048,СССР
1130106,СССР
1130117,СССР
1130120,СССР
1130146,СССР
1130181,нет данных
1130236,СССР
1130255,СССР
1130273,СССР
1130412,СССР
1130417,нет данных
1130420,СССР
1130456,СССР
1130460,СССР
