id,партийная принадлежность
1119205,нет данных
1119211,нет данных
1119249,нет данных
1119251,нет данных
1119264,нет данных
1119351,нет данных
1119370,нет данных
1119456,беспартийный
1119460,нет данных
1119492,нет данных
1119578,нет данных
1119626,нет данных
1119655,нет данных
1119669,нет данных
1119671,нет данных
1119755,нет данных
1119772,нет данных
1119833,нет данных
1119877,нет данных
1120193,нет данных
1120267,нет данных
1120511,нет данных
1120692,нет данных
1120693,нет данных
1120752,нет данных
1120998,нет данных
1120999,нет данных
1121001,нет данных
1121020,нет данных
1121056,нет данных
1121058,нет данных
1121071,нет данных
1121230,нет данных
1121570,нет данных
1121669,нет данных
1122083,нет данных
1122126,нет данных
1122224,нет данных
1122279,нет данных
1122523,нет данных
1122524,нет данных
1122556,нет данных
1122663,нет данных
1122697,нет данных
1122765,нет данных
1122813,нет данных
1122880,нет данных
1122890,нет данных
1122910,нет данных
1123083,нет данных
1123142,нет данных
1123297,нет данных
1123302,нет данных
1123309,нет данных
1123365,нет данных
1123374,нет данных
1123480,нет данных
1123736,нет данных
1123796,нет данных
1123818,нет данных
1124046,нет данных
1124139,нет данных
1124183,нет данных
1124218,нет данных
1124224,нет данных
1124337,нет данных
1124607,нет данных
1124684,нет данных
1125016,нет данных
1125180,нет данных
1125431,нет данных
1125544,нет данных
1125721,нет данных
1125723,нет данных
1125729,нет данных
1125939,нет данных
1126059,нет данных
1126086,нет данных
1126088,нет данных
1126284,нет данных
1126364,нет данных
1126582,нет данных
1127041,нет данных
1127363,нет данных
1127399,нет данных
1127485,нет данных
1127518,нет данных
1127593,нет данных
1127658,нет данных
1127674,нет данных
1127720,нет данных
1127821,нет данных
1127831,нет данных
1127840,нет данных
1127890,нет данных
1127976,нет данных
1128025,нет данных
1128037,нет данных
1128048,нет данных
1128052,нет данных
1128076,нет данных
1128147,нет данных
1128150,нет данных
1128165,нет данных
1128180,нет данных
1128200,нет данных
1128440,нет данных
1128741,нет данных
1128823,нет данных
1128856,нет данных
1128910,нет данных
1128971,нет данных
1128987,нет данных
1129026,нет данных
1129252,нет данных
1129306,нет данных
1129470,нет данных
1129473,нет данных
1129576,нет данных
1129584,нет данных
1129591,нет данных
1129609,нет данных
1129617,нет данных
1129625,нет данных
1129635,нет данных
1129738,нет данных
1129739,нет данных
1129847,нет данных
1130014,нет данных
1130044,нет данных
1130048,нет данных
1130106,нет данных
1130117,нет данных
1130120,нет данных
1130146,нет данных
1130181,нет данных
1130236,нет данных
1130255,нет данных
1130273,нет данных
1130412,нет данных
1130417,нет данных
1130420,нет данных
1130456,нет данных
1130460,нет данных
1130497,нет данных
1130505,нет данных
1130513,нет данных
1130723,нет данных
1130765,нет данных
1130774,нет данных
1130778,нет данных
1130802,нет данных
1130821,нет данных
1130954,нет данных
1131005,нет данных
1131076,нет данных
1131099,нет данных
1131109,нет данных
1131134,нет данных
1131250,нет данных
1131272,нет данных
1131311,нет данных
1131434,нет данных
1131537,нет данных
1131566,нет данных
1131710,нет данных
1131712,нет данных
1131758,нет данных
1131848,нет данных
1131854,нет данных
1131949,нет данных
1132008,нет данных
1132018,нет данных
1132071,нет данных
1132094,нет данных
1132113,нет данных
1132134,нет данных
1132147,нет данных
1132188,нет данных
1132212,нет данных
1132226,нет данных
1132227,нет данных
1132233,нет данных
1132409,нет данных
1132412,нет данных
1132414,нет данных
1132415,нет данных
1132454,нет данных
1132461,нет данных
1132512,нет данных
1132513,нет данных
1132552,нет данных
1132623,нет данных
1132660,нет данных
1132755,нет данных
1132785,нет данных
